Fecha,Usuario,CPU_Por,Memoria_Por,Proceso,,,,,
210308-192901,hbase,0,0,sleep,,,,,
210308-192901,hbase,2.6,20.5,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-192901,hbase,0,0,python2.7,,,,,
210308-192901,hbase,0.3,0,/bin/bash,,,,,
210308-192901,hdfs,5.9,1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-192901,hdfs,0,0,python2.7,,,,,
210308-192901,impala,138,11.6,/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad,,,,,
210308-192901,impala,0,0,python2.7,,,,,
210308-192901,yarn,1.7,1.1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-192901,yarn,0,0,python2.7,,,,,
210308-193401,hbase,2.6,20.5,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-193401,hbase,0,0,python2.7,,,,,
210308-193401,hbase,0.3,0,/bin/bash,,,,,
210308-193401,hbase,0,0,sleep,,,,,
210308-193401,hdfs,5.9,1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-193401,hdfs,0,0,python2.7,,,,,
210308-193401,impala,138,11.6,/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad,,,,,
210308-193401,impala,0,0,python2.7,,,,,
210308-193401,yarn,1.7,1.1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-193401,yarn,0,0,python2.7,,,,,
210308-193901,hbase,2.6,20.5,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-193901,hbase,0,0,python2.7,,,,,
210308-193901,hbase,0.3,0,/bin/bash,,,,,
210308-193901,hbase,0,0,sleep,,,,,
210308-193901,hdfs,5.9,1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-193901,hdfs,0,0,python2.7,,,,,
210308-193901,impala,138,11.6,/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad,,,,,
210308-193901,impala,0,0,python2.7,,,,,
210308-193901,yarn,1.7,1.1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-193901,yarn,0,0,python2.7,,,,,
210308-194401,hbase,2.6,20.5,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-194401,hbase,0,0,python2.7,,,,,
210308-194401,hbase,0.3,0,/bin/bash,,,,,
210308-194401,hbase,0,0,sleep,,,,,
210308-194401,hdfs,5.9,1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-194401,hdfs,0,0,python2.7,,,,,
210308-194401,impala,138,11.6,/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad,,,,,
210308-194401,impala,0,0,python2.7,,,,,
210308-194401,yarn,1.7,1.1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-194401,yarn,0,0,python2.7,,,,,
210308-194901,hbase,0,0,sleep,,,,,
210308-194901,hbase,2.6,20.5,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-194901,hbase,0,0,python2.7,,,,,
210308-194901,hbase,0.3,0,/bin/bash,,,,,
210308-194901,hdfs,5.9,1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-194901,hdfs,0,0,python2.7,,,,,
210308-194901,impala,139,11.6,/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad,,,,,
210308-194901,impala,0,0,python2.7,,,,,
210308-194901,yarn,1.7,1.1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-194901,yarn,0,0,python2.7,,,,,
210308-195401,hbase,0,0,sleep,,,,,
210308-195401,hbase,2.6,20.5,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-195401,hbase,0,0,python2.7,,,,,
210308-195401,hbase,0.3,0,/bin/bash,,,,,
210308-195401,hdfs,5.9,1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-195401,hdfs,0,0,python2.7,,,,,
210308-195401,impala,139,11.7,/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad,,,,,
210308-195401,impala,0,0,python2.7,,,,,
210308-195401,yarn,1.7,1.1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-195401,yarn,0,0,python2.7,,,,,
210308-195901,hbase,0,0,sleep,,,,,
210308-195901,hbase,2.6,20.5,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-195901,hbase,0,0,python2.7,,,,,
210308-195901,hbase,0.3,0,/bin/bash,,,,,
210308-195901,hdfs,5.9,1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-195901,hdfs,0,0,python2.7,,,,,
210308-195901,impala,139,11.6,/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad,,,,,
210308-195901,impala,0,0,python2.7,,,,,
210308-195901,yarn,1.7,1.1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-195901,yarn,0,0,python2.7,,,,,
210308-200401,hbase,0,0,sleep,,,,,
210308-200401,hbase,2.6,20.5,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-200401,hbase,0,0,python2.7,,,,,
210308-200401,hbase,0.3,0,/bin/bash,,,,,
210308-200401,hdfs,5.9,1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-200401,hdfs,0,0,python2.7,,,,,
210308-200401,impala,139,11.8,/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad,,,,,
210308-200401,impala,0,0,python2.7,,,,,
210308-200401,yarn,1.7,1.1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-200401,yarn,0,0,python2.7,,,,,
210308-200901,hbase,0,0,sleep,,,,,
210308-200901,hbase,2.6,20.5,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-200901,hbase,0,0,python2.7,,,,,
210308-200901,hbase,0.3,0,/bin/bash,,,,,
210308-200901,hdfs,5.9,1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-200901,hdfs,0,0,python2.7,,,,,
210308-200901,impala,139,11.6,/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad,,,,,
210308-200901,impala,0,0,python2.7,,,,,
210308-200901,yarn,1.7,1.1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-200901,yarn,0,0,python2.7,,,,,
210308-201401,hbase,0,0,sleep,,,,,
210308-201401,hbase,2.6,20.5,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-201401,hbase,0,0,python2.7,,,,,
210308-201401,hbase,0.3,0,/bin/bash,,,,,
210308-201401,hdfs,5.9,1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-201401,hdfs,0,0,python2.7,,,,,
210308-201401,impala,139,11.6,/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad,,,,,
210308-201401,impala,0,0,python2.7,,,,,
210308-201401,yarn,1.7,1.1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-201401,yarn,0,0,python2.7,,,,,
210308-201901,hbase,0,0,sleep,,,,,
210308-201901,hbase,2.6,20.5,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-201901,hbase,0,0,python2.7,,,,,
210308-201901,hbase,0.3,0,/bin/bash,,,,,
210308-201901,hdfs,5.9,1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-201901,hdfs,0,0,python2.7,,,,,
210308-201901,impala,139,11.6,/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad,,,,,
210308-201901,impala,0,0,python2.7,,,,,
210308-201901,yarn,1.7,1.1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-201901,yarn,0,0,python2.7,,,,,
210308-202401,hbase,0,0,sleep,,,,,
210308-202401,hbase,2.6,20.5,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-202401,hbase,0,0,python2.7,,,,,
210308-202401,hbase,0.3,0,/bin/bash,,,,,
210308-202401,hdfs,5.9,1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-202401,hdfs,0,0,python2.7,,,,,
210308-202401,impala,139,12.3,/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad,,,,,
210308-202401,impala,0,0,python2.7,,,,,
210308-202401,yarn,1.7,1.1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-202401,yarn,0,0,python2.7,,,,,
210308-202901,hbase,0,0,sleep,,,,,
210308-202901,hbase,2.6,20.5,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-202901,hbase,0,0,python2.7,,,,,
210308-202901,hbase,0.3,0,/bin/bash,,,,,
210308-202901,hdfs,5.9,1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-202901,hdfs,0,0,python2.7,,,,,
210308-202901,impala,139,12.1,/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad,,,,,
210308-202901,impala,0,0,python2.7,,,,,
210308-202901,yarn,1.7,1.1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-202901,yarn,0,0,python2.7,,,,,
210308-203401,hbase,0,0,sleep,,,,,
210308-203401,hbase,2.6,20.5,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-203401,hbase,0,0,python2.7,,,,,
210308-203401,hbase,0.3,0,/bin/bash,,,,,
210308-203401,hdfs,5.9,1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-203401,hdfs,0,0,python2.7,,,,,
210308-203401,impala,139,12,/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad,,,,,
210308-203401,impala,0,0,python2.7,,,,,
210308-203401,yarn,1.7,1.1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-203401,yarn,0,0,python2.7,,,,,
210308-203901,hbase,0,0,sleep,,,,,
210308-203901,hbase,2.6,20.5,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-203901,hbase,0,0,python2.7,,,,,
210308-203901,hbase,0.3,0,/bin/bash,,,,,
210308-203901,hdfs,5.9,1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-203901,hdfs,0,0,python2.7,,,,,
210308-203901,impala,139,11.6,/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad,,,,,
210308-203901,impala,0,0,python2.7,,,,,
210308-203901,yarn,1.7,1.1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-203901,yarn,0,0,python2.7,,,,,
210308-204401,hbase,0,0,sleep,,,,,
210308-204401,hbase,2.6,20.5,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-204401,hbase,0,0,python2.7,,,,,
210308-204401,hbase,0.3,0,/bin/bash,,,,,
210308-204401,hdfs,5.9,1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-204401,hdfs,0,0,python2.7,,,,,
210308-204401,impala,139,13,/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad,,,,,
210308-204401,impala,0,0,python2.7,,,,,
210308-204401,yarn,1.7,1.1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-204401,yarn,0,0,python2.7,,,,,
210308-204901,hbase,0,0,sleep,,,,,
210308-204901,hbase,2.6,20.5,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-204901,hbase,0,0,python2.7,,,,,
210308-204901,hbase,0.3,0,/bin/bash,,,,,
210308-204901,hdfs,5.9,1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-204901,hdfs,0,0,python2.7,,,,,
210308-204901,impala,139,12,/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad,,,,,
210308-204901,impala,0,0,python2.7,,,,,
210308-204901,yarn,1.7,1.1,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-204901,yarn,0,0,python2.7,,,,,
210308-204901,yarn,0,0,bash,,,,,
210308-204901,yarn,0,0,/bin/bash,,,,,
210308-204901,yarn,141,0.6,/usr/java/jdk1.7.0_67-cloudera/bin/java,,,,,
210308-205401,hbase,0,0,sleep,,,,,
