"Fecha","Usuario","CPU_Por","Memoria_Por","Proceso"
"210308-192901","hbase","3.0","20.5","/usr/java/jdk1.7.0_67-cloudera/bin/java"
"210308-192901","hbase","0.0","0.0","python2.7"
"210308-192901","hbase","0.3","0.0","/bin/bash"
"210308-192901","hbase","0.0","0.0","sleep"
"210308-192901","hdfs","5.7","1.0","/usr/java/jdk1.7.0_67-cloudera/bin/java"
"210308-192901","hdfs","0.0","0.0","python2.7"
"210308-192901","impala","146","10.7","/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad"
"210308-192901","impala","0.0","0.0","python2.7"
"210308-192901","yarn","1.8","1.1","/usr/java/jdk1.7.0_67-cloudera/bin/java"
"210308-192901","yarn","0.0","0.0","python2.7"
"210308-193401","hbase","3.0","20.5","/usr/java/jdk1.7.0_67-cloudera/bin/java"
"210308-193401","hbase","0.0","0.0","python2.7"
"210308-193401","hbase","0.3","0.0","/bin/bash"
"210308-193401","hbase","0.0","0.0","sleep"
"210308-193401","hdfs","5.7","1.0","/usr/java/jdk1.7.0_67-cloudera/bin/java"
"210308-193401","hdfs","0.0","0.0","python2.7"
"210308-193401","impala","146","10.7","/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad"
"210308-193401","impala","0.0","0.0","python2.7"
"210308-193401","yarn","1.8","1.1","/usr/java/jdk1.7.0_67-cloudera/bin/java"
"210308-193401","yarn","0.0","0.0","python2.7"
"210308-193901","hbase","3.0","20.5","/usr/java/jdk1.7.0_67-cloudera/bin/java"
"210308-193901","hbase","0.0","0.0","python2.7"
"210308-193901","hbase","0.3","0.0","/bin/bash"
"210308-193901","hbase","0.0","0.0","sleep"
"210308-193901","hdfs","5.7","1.0","/usr/java/jdk1.7.0_67-cloudera/bin/java"
"210308-193901","hdfs","0.0","0.0","python2.7"
"210308-193901","impala","146","10.7","/opt/cloudera/parcels/CDH-5.13.0-1.cdh5.13.0.p0.29/lib/impala/sbin-retail/impalad"
