"Fecha","Usuario","CPU_Por","Memoria_Por","Proceso"
"210308-192901","hdfs","0.3","0.3","/usr/java/jdk1.7.0_67-cloudera/bin/java"
"210308-192901","hdfs","0.0","0.0","python2.7"
"210308-192901","hue","5.7","6.0","python2.7"
"210308-192901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-192901","hue","0.0","0.0","python2.7"
"210308-192901","hue","0.0","0.0","python2.7"
"210308-192901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-192901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-192901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-192901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-193401","hdfs","0.3","0.3","/usr/java/jdk1.7.0_67-cloudera/bin/java"
"210308-193401","hdfs","0.0","0.0","python2.7"
"210308-193401","hue","5.7","6.0","python2.7"
"210308-193401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-193401","hue","0.0","0.0","python2.7"
"210308-193401","hue","0.0","0.0","python2.7"
"210308-193401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-193401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-193401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-193401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-193901","hdfs","0.3","0.3","/usr/java/jdk1.7.0_67-cloudera/bin/java"
"210308-193901","hdfs","0.0","0.0","python2.7"
"210308-193901","hue","5.7","6.0","python2.7"
"210308-193901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-193901","hue","0.0","0.0","python2.7"
"210308-193901","hue","0.0","0.0","python2.7"
"210308-193901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-193901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-193901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-193901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-194401","hdfs","0.3","0.3","/usr/java/jdk1.7.0_67-cloudera/bin/java"
"210308-194401","hdfs","0.0","0.0","python2.7"
"210308-194401","hue","5.7","6.0","python2.7"
"210308-194401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-194401","hue","0.0","0.0","python2.7"
"210308-194401","hue","0.0","0.0","python2.7"
"210308-194401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-194401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-194401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-194401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-194901","hdfs","0.3","0.3","/usr/java/jdk1.7.0_67-cloudera/bin/java"
"210308-194901","hdfs","0.0","0.0","python2.7"
"210308-194901","hue","5.7","6.0","python2.7"
"210308-194901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-194901","hue","0.0","0.0","python2.7"
"210308-194901","hue","0.0","0.0","python2.7"
"210308-194901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-194901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-194901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-194901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-195401","hdfs","0.3","0.3","/usr/java/jdk1.7.0_67-cloudera/bin/java"
"210308-195401","hdfs","0.0","0.0","python2.7"
"210308-195401","hue","5.7","6.0","python2.7"
"210308-195401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-195401","hue","0.0","0.0","python2.7"
"210308-195401","hue","0.0","0.0","python2.7"
"210308-195401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-195401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-195401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-195401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-195901","hdfs","0.3","0.3","/usr/java/jdk1.7.0_67-cloudera/bin/java"
"210308-195901","hdfs","0.0","0.0","python2.7"
"210308-195901","hue","5.7","6.0","python2.7"
"210308-195901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-195901","hue","0.0","0.0","python2.7"
"210308-195901","hue","0.0","0.0","python2.7"
"210308-195901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-195901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-195901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-195901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-200401","hdfs","0.3","0.3","/usr/java/jdk1.7.0_67-cloudera/bin/java"
"210308-200401","hdfs","0.0","0.0","python2.7"
"210308-200401","hue","5.7","6.0","python2.7"
"210308-200401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-200401","hue","0.0","0.0","python2.7"
"210308-200401","hue","0.0","0.0","python2.7"
"210308-200401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-200401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-200401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-200401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-200901","hdfs","0.3","0.3","/usr/java/jdk1.7.0_67-cloudera/bin/java"
"210308-200901","hdfs","0.0","0.0","python2.7"
"210308-200901","hue","5.7","6.0","python2.7"
"210308-200901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-200901","hue","0.0","0.0","python2.7"
"210308-200901","hue","0.0","0.0","python2.7"
"210308-200901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-200901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-200901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-200901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-201401","hdfs","0.3","0.3","/usr/java/jdk1.7.0_67-cloudera/bin/java"
"210308-201401","hdfs","0.0","0.0","python2.7"
"210308-201401","hue","5.7","6.0","python2.7"
"210308-201401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-201401","hue","0.0","0.0","python2.7"
"210308-201401","hue","0.0","0.0","python2.7"
"210308-201401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-201401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-201401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-201401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-201901","hdfs","0.3","0.3","/usr/java/jdk1.7.0_67-cloudera/bin/java"
"210308-201901","hdfs","0.0","0.0","python2.7"
"210308-201901","hue","5.7","6.0","python2.7"
"210308-201901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-201901","hue","0.0","0.0","python2.7"
"210308-201901","hue","0.0","0.0","python2.7"
"210308-201901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-201901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-201901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-201901","hue","0.0","0.0","/usr/sbin/httpd"
"210308-202401","hdfs","0.3","0.3","/usr/java/jdk1.7.0_67-cloudera/bin/java"
"210308-202401","hdfs","0.0","0.0","python2.7"
"210308-202401","hue","5.7","6.0","python2.7"
"210308-202401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-202401","hue","0.0","0.0","python2.7"
"210308-202401","hue","0.0","0.0","python2.7"
"210308-202401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-202401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-202401","hue","0.0","0.0","/usr/sbin/httpd"
"210308-202401","hue","0.0","0.0","/usr/sbin/httpd"
